C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_23_756.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_23_756.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_23_756.jpg, 0, 0, 0, 8.458521E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_23_867.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_23_867.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_23_867.jpg, 0, 0, 0, 7.839838E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_23_973.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_23_973.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_23_973.jpg, 0, 0, 0, 7.890168E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_24_076.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_24_076.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_24_076.jpg, 0, 0, 0, 7.938911E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_24_177.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_24_177.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_24_177.jpg, 0, 0, 0, 7.930924E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_24_279.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_24_279.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_24_279.jpg, 0, 0, 0, 7.818258E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_24_382.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_24_382.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_24_382.jpg, 0, 0, 0, 8.246164E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_24_485.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_24_485.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_24_485.jpg, 0, 0, 0, 7.965145E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_24_588.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_24_588.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_24_588.jpg, 0, 0, 0, 7.944929E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_24_697.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_24_697.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_24_697.jpg, 0, 0, 0, 8.405972E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_24_799.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_24_799.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_24_799.jpg, 0, 0, 0, 7.810644E-05
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_24_918.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_24_918.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_24_918.jpg, 0, 0.3468318, 0, 0.340578
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_25_049.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_25_049.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_25_049.jpg, 0, 0.7324215, 0, 1.319743
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_25_148.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_25_148.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_25_148.jpg, 0, 1, 0, 2.420848
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_25_301.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_25_301.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_25_301.jpg, 0, 1, 0, 4.303329
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_25_400.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_25_400.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_25_400.jpg, 0, 1, 0, 5.466035
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_25_501.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_25_501.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_25_501.jpg, -0.3026943, 1, 0, 6.581756
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_25_609.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_25_609.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_25_609.jpg, -0.4305774, 1, 0, 7.90221
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_25_716.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_25_716.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_25_716.jpg, -0.1090066, 0.6784291, 0, 8.796849
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_25_831.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_25_831.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_25_831.jpg, 0, 0.3395893, 0, 9.19699
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_25_937.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_25_937.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_25_937.jpg, 0, 0.04020852, 0, 9.283689
C:\Users\Hp\Desktop\data\IMG\center_2020_05_25_20_18_26_048.jpg, C:\Users\Hp\Desktop\data\IMG\left_2020_05_25_20_18_26_048.jpg, C:\Users\Hp\Desktop\data\IMG\right_2020_05_25_20_18_26_048.jpg, 0, 0, 0, 9.193657
